Id,Fitness,Pbest,X,Y,V1,V2,XB,YB
6,17.1854,0.927829,2.25625,3.47775,5.76071,-0.0365381,-0.752286,-0.601577
7,18.2904,0.494295,-4.01763,-1.46595,-3.99968,-0.681506,-0.667974,-0.219328
10,24.4751,2.78863,-4.55723,-1.9253,-4.26396,-0.281336,-0.293269,-1.64396
5,29.5257,1.86246,0.553937,5.40544,-0.715484,4.90442,1.26942,0.501027
9,57.3755,6.88526,-6.50253,3.88492,-10.0538,2.44376,1.35222,2.24873
3,62.996,8.25957,-5.55925,5.66487,-14.9093,2.48608,2.59494,-1.23526
1,0.825405,0.330167,0.882436,0.216132,-2.96761,-0.499832,0.211855,-0.53412
4,2.91576,2.73445,1.34236,1.05538,4.70599,-1.12127,-1.61678,0.3471
6,2.99401,0.927829,0.825907,1.52049,-1.43035,-1.95726,-0.752286,-0.601577
2,13.1538,0.115185,0.293957,-3.61489,0.148983,0.127311,-0.161864,0.298303
7,14.0183,0.494295,3.1719,-1.9893,7.18954,-0.523344,-0.667974,-0.219328
10,24.7282,2.78863,4.48351,-2.15089,9.04074,-0.225592,-0.293269,-1.64396
3,27.2137,8.25957,-0.0453968,5.21648,5.51385,-0.44839,2.59494,-1.23526
8,29.397,1.55815,3.58534,-4.06723,2.54572,-4.75813,1.03962,0.690899
9,46.308,6.88526,4.80361,4.82009,11.3061,0.935175,1.35222,2.24873
5,61.6334,1.86246,0.542971,7.83189,-0.010966,2.42645,1.26942,0.501027
4,0.729394,0.729394,0.258928,-0.813849,-1.08344,-1.86923,0.258928,-0.813849
7,4.98566,0.494295,0.628433,-2.1426,-2.54347,-0.153302,-0.667974,-0.219328
10,5.24019,2.78863,0.519549,-2.22941,-3.96396,-0.0785142,-0.293269,-1.64396
2,5.5761,0.115185,-0.178563,-2.35462,-0.47252,1.26027,-0.161864,0.298303
6,15.6486,0.927829,-3.63306,-1.56508,-4.45896,-3.08556,-0.752286,-0.601577
1,15.7763,0.330167,-3.87543,-0.87027,-4.75786,-1.0864,0.211855,-0.53412
9,35.8267,6.88526,4.56779,3.86807,-0.235818,-0.95202,1.35222,2.24873
5,47.8218,1.86246,1.26843,6.79801,0.725464,-1.03389,1.26942,0.501027
8,60.5863,1.55815,-2.32046,-7.42979,-5.9058,-3.36256,1.03962,0.690899
3,101,8.25957,9.84578,2.01515,9.89118,-3.20133,2.59494,-1.23526
2,0.232923,0.115185,0.102492,-0.471612,0.281055,1.883,-0.161864,0.298303
5,7.7946,1.86246,0.619161,2.72236,-0.649274,-4.07565,1.26942,0.501027
4,8.9994,0.729394,-0.7318,-2.90927,-0.990728,-2.09542,0.258928,-0.813849
1,16.1363,0.330167,3.42228,-2.1034,7.29771,-1.23313,0.211855,-0.53412
7,21.5049,0.494295,-4.24631,-1.86379,-4.87474,0.278806,-0.667974,-0.219328
6,23.9608,0.927829,1.85536,-4.52972,5.48842,-2.96465,-0.752286,-0.601577
10,28.6765,2.78863,-4.91361,-2.12906,-5.43316,0.100351,-0.293269,-1.64396
3,28.7942,8.25957,-4.66997,-2.64302,-14.5157,-4.65818,2.59494,-1.23526
9,44.5593,6.88526,-6.52373,1.41429,-11.0915,-2.45378,1.35222,2.24873
8,64.8266,1.55815,0.508651,-8.03542,2.82911,-0.605625,1.03962,0.690899
2,1.7193,0.115185,0.319226,1.27177,0.216734,1.74338,-0.161864,0.298303
5,7.76975,1.86246,0.484597,-2.74498,-0.134563,-5.46734,1.26942,0.501027
7,9.07488,0.494295,2.73363,-1.26576,6.97994,0.598037,-0.667974,-0.219328
1,11.2715,0.330167,1.53855,-2.98402,-1.88374,-0.880616,0.211855,-0.53412
9,16.8845,6.88526,3.80641,-1.54781,10.3301,-2.96211,1.35222,2.24873
10,19.5342,2.78863,3.99504,-1.89047,8.90865,0.238587,-0.293269,-1.64396
4,20.7774,0.729394,1.25329,-4.38254,1.98509,-1.47327,0.258928,-0.813849
6,39.849,0.927829,1.31935,-6.17319,-0.536014,-1.64347,-0.752286,-0.601577
8,46.5406,1.55815,3.83969,-5.63891,3.33104,2.3965,1.03962,0.690899
3,49.0501,8.25957,-1.35045,-6.87215,3.31951,-4.22912,2.59494,-1.23526
7,1.92629,0.494295,1.25597,-0.590608,-1.47766,0.675147,-0.667974,-0.219328
10,4.33657,2.78863,1.32049,-1.61024,-2.67454,0.28023,-0.293269,-1.64396
2,4.73292,0.115185,-0.159077,2.1697,-0.478303,0.897934,-0.161864,0.298303
8,5.54973,1.55815,-2.02098,-1.21053,-5.86067,4.42838,1.03962,0.690899
4,21.6948,0.729394,0.4374,-4.63719,-0.815891,-0.254647,0.258928,-0.813849
1,26.3181,0.330167,-4.04479,-3.15559,-5.58333,-0.171575,0.211855,-0.53412
9,44.7967,6.88526,5.49653,-3.81901,1.69012,-2.27119,1.35222,2.24873
6,47.5418,0.927829,-3.68125,-5.83011,-5.0006,0.343085,-0.752286,-0.601577
5,56.198,1.86246,1.25634,-7.39051,0.771739,-4.64553,1.26942,0.501027
